LocationType,Location,TimeFrame,DataFormat,Data
State,Kentucky,2010-2014,Percent,0.42
State,Kentucky,2011-2015,Percent,0.416
State,Kentucky,2012-2016,Percent,0.419
State,Kentucky,2013-2017,Percent,0.413
State,Kentucky,2014-2018,Percent,0.418
State,Kentucky,2015-2019,Percent,0.412
State,Kentucky,2016-2020,Percent,0.407
State,Kentucky,2017-2021,Percent,0.395
State,Kentucky,2018-2022,Percent,0.391
County,Adair,2010-2014,Percent,0.25
County,Adair,2011-2015,Percent,S
County,Adair,2012-2016,Percent,S
County,Adair,2013-2017,Percent,S
County,Adair,2014-2018,Percent,S
County,Adair,2015-2019,Percent,S
County,Adair,2016-2020,Percent,0.353
County,Adair,2017-2021,Percent,0.403
County,Adair,2018-2022,Percent,0.349
County,Allen,2010-2014,Percent,0.336
County,Allen,2011-2015,Percent,S
County,Allen,2012-2016,Percent,0.344
County,Allen,2013-2017,Percent,0.333
County,Allen,2014-2018,Percent,0.396
County,Allen,2015-2019,Percent,0.293
County,Allen,2016-2020,Percent,0.487
County,Allen,2017-2021,Percent,0.357
County,Allen,2018-2022,Percent,S
County,Anderson,2010-2014,Percent,0.477
County,Anderson,2011-2015,Percent,0.43
County,Anderson,2012-2016,Percent,0.481
County,Anderson,2013-2017,Percent,0.501
County,Anderson,2014-2018,Percent,0.606
County,Anderson,2015-2019,Percent,0.518
County,Anderson,2016-2020,Percent,0.594
County,Anderson,2017-2021,Percent,0.495
County,Anderson,2018-2022,Percent,0.493
County,Ballard,2010-2014,Percent,0.569
County,Ballard,2011-2015,Percent,0.484
County,Ballard,2012-2016,Percent,0.46
County,Ballard,2013-2017,Percent,0.395
County,Ballard,2014-2018,Percent,0.4
County,Ballard,2015-2019,Percent,S
County,Ballard,2016-2020,Percent,0.545
County,Ballard,2017-2021,Percent,S
County,Ballard,2018-2022,Percent,S
County,Barren,2010-2014,Percent,0.482
County,Barren,2011-2015,Percent,0.422
County,Barren,2012-2016,Percent,0.358
County,Barren,2013-2017,Percent,0.414
County,Barren,2014-2018,Percent,0.401
County,Barren,2015-2019,Percent,0.349
County,Barren,2016-2020,Percent,0.346
County,Barren,2017-2021,Percent,0.339
County,Barren,2018-2022,Percent,0.331
County,Bath,2010-2014,Percent,S
County,Bath,2011-2015,Percent,0.485
County,Bath,2012-2016,Percent,S
County,Bath,2013-2017,Percent,0.363
County,Bath,2014-2018,Percent,S
County,Bath,2015-2019,Percent,0.38
County,Bath,2016-2020,Percent,S
County,Bath,2017-2021,Percent,S
County,Bath,2018-2022,Percent,S
County,Bell,2010-2014,Percent,0.322
County,Bell,2011-2015,Percent,0.378
County,Bell,2012-2016,Percent,0.487
County,Bell,2013-2017,Percent,0.535
County,Bell,2014-2018,Percent,0.446
County,Bell,2015-2019,Percent,0.491
County,Bell,2016-2020,Percent,0.431
County,Bell,2017-2021,Percent,S
County,Bell,2018-2022,Percent,0.269
County,Boone,2010-2014,Percent,0.53
County,Boone,2011-2015,Percent,0.533
County,Boone,2012-2016,Percent,0.501
County,Boone,2013-2017,Percent,0.495
County,Boone,2014-2018,Percent,0.445
County,Boone,2015-2019,Percent,0.454
County,Boone,2016-2020,Percent,0.491
County,Boone,2017-2021,Percent,0.429
County,Boone,2018-2022,Percent,0.393
County,Bourbon,2010-2014,Percent,0.499
County,Bourbon,2011-2015,Percent,0.409
County,Bourbon,2012-2016,Percent,0.454
County,Bourbon,2013-2017,Percent,0.452
County,Bourbon,2014-2018,Percent,0.387
County,Bourbon,2015-2019,Percent,0.361
County,Bourbon,2016-2020,Percent,S
County,Bourbon,2017-2021,Percent,S
County,Bourbon,2018-2022,Percent,S
County,Boyd,2010-2014,Percent,0.412
County,Boyd,2011-2015,Percent,0.36
County,Boyd,2012-2016,Percent,0.295
County,Boyd,2013-2017,Percent,0.291
County,Boyd,2014-2018,Percent,0.29
County,Boyd,2015-2019,Percent,0.315
County,Boyd,2016-2020,Percent,0.326
County,Boyd,2017-2021,Percent,0.363
County,Boyd,2018-2022,Percent,0.403
County,Boyle,2010-2014,Percent,0.267
County,Boyle,2011-2015,Percent,0.289
County,Boyle,2012-2016,Percent,0.318
County,Boyle,2013-2017,Percent,0.314
County,Boyle,2014-2018,Percent,0.347
County,Boyle,2015-2019,Percent,0.396
County,Boyle,2016-2020,Percent,0.388
County,Boyle,2017-2021,Percent,0.295
County,Boyle,2018-2022,Percent,0.259
County,Bracken,2010-2014,Percent,0.387
County,Bracken,2011-2015,Percent,0.413
County,Bracken,2012-2016,Percent,0.442
County,Bracken,2013-2017,Percent,0.362
County,Bracken,2014-2018,Percent,S
County,Bracken,2015-2019,Percent,0.432
County,Bracken,2016-2020,Percent,S
County,Bracken,2017-2021,Percent,S
County,Bracken,2018-2022,Percent,S
County,Breathitt,2010-2014,Percent,0.298
County,Breathitt,2011-2015,Percent,0.313
County,Breathitt,2012-2016,Percent,S
County,Breathitt,2013-2017,Percent,S
County,Breathitt,2014-2018,Percent,S
County,Breathitt,2015-2019,Percent,S
County,Breathitt,2016-2020,Percent,S
County,Breathitt,2017-2021,Percent,S
County,Breathitt,2018-2022,Percent,S
County,Breckinridge,2010-2014,Percent,0.46
County,Breckinridge,2011-2015,Percent,0.51
County,Breckinridge,2012-2016,Percent,0.46
County,Breckinridge,2013-2017,Percent,0.424
County,Breckinridge,2014-2018,Percent,0.284
County,Breckinridge,2015-2019,Percent,S
County,Breckinridge,2016-2020,Percent,S
County,Breckinridge,2017-2021,Percent,0.403
County,Breckinridge,2018-2022,Percent,S
County,Bullitt,2010-2014,Percent,0.456
County,Bullitt,2011-2015,Percent,0.422
County,Bullitt,2012-2016,Percent,0.358
County,Bullitt,2013-2017,Percent,0.277
County,Bullitt,2014-2018,Percent,0.28
County,Bullitt,2015-2019,Percent,0.331
County,Bullitt,2016-2020,Percent,0.359
County,Bullitt,2017-2021,Percent,0.373
County,Bullitt,2018-2022,Percent,0.424
County,Butler,2010-2014,Percent,0.323
County,Butler,2011-2015,Percent,0.331
County,Butler,2012-2016,Percent,0.278
County,Butler,2013-2017,Percent,0.324
County,Butler,2014-2018,Percent,0.296
County,Butler,2015-2019,Percent,0.369
County,Butler,2016-2020,Percent,S
County,Butler,2017-2021,Percent,0.372
County,Butler,2018-2022,Percent,S
County,Caldwell,2010-2014,Percent,S
County,Caldwell,2011-2015,Percent,S
County,Caldwell,2012-2016,Percent,S
County,Caldwell,2013-2017,Percent,S
County,Caldwell,2014-2018,Percent,S
County,Caldwell,2015-2019,Percent,0.671
County,Caldwell,2016-2020,Percent,0.636
County,Caldwell,2017-2021,Percent,S
County,Caldwell,2018-2022,Percent,0.724
County,Calloway,2010-2014,Percent,0.289
County,Calloway,2011-2015,Percent,0.234
County,Calloway,2012-2016,Percent,0.285
County,Calloway,2013-2017,Percent,0.326
County,Calloway,2014-2018,Percent,0.289
County,Calloway,2015-2019,Percent,0.384
County,Calloway,2016-2020,Percent,0.347
County,Calloway,2017-2021,Percent,0.468
County,Calloway,2018-2022,Percent,0.508
County,Campbell,2010-2014,Percent,0.475
County,Campbell,2011-2015,Percent,0.43
County,Campbell,2012-2016,Percent,0.51
County,Campbell,2013-2017,Percent,0.5
County,Campbell,2014-2018,Percent,0.472
County,Campbell,2015-2019,Percent,0.505
County,Campbell,2016-2020,Percent,0.431
County,Campbell,2017-2021,Percent,0.474
County,Campbell,2018-2022,Percent,0.485
County,Carlisle,2010-2014,Percent,S
County,Carlisle,2011-2015,Percent,0.606
County,Carlisle,2012-2016,Percent,0.485
County,Carlisle,2013-2017,Percent,0.562
County,Carlisle,2014-2018,Percent,0.676
County,Carlisle,2015-2019,Percent,0.713
County,Carlisle,2016-2020,Percent,0.675
County,Carlisle,2017-2021,Percent,0.797
County,Carlisle,2018-2022,Percent,0.716
County,Carroll,2010-2014,Percent,S
County,Carroll,2011-2015,Percent,S
County,Carroll,2012-2016,Percent,0.405
County,Carroll,2013-2017,Percent,0.402
County,Carroll,2014-2018,Percent,0.35
County,Carroll,2015-2019,Percent,0.405
County,Carroll,2016-2020,Percent,0.659
County,Carroll,2017-2021,Percent,0.45
County,Carroll,2018-2022,Percent,0.474
County,Carter,2010-2014,Percent,0.39
County,Carter,2011-2015,Percent,0.428
County,Carter,2012-2016,Percent,0.523
County,Carter,2013-2017,Percent,0.534
County,Carter,2014-2018,Percent,0.45
County,Carter,2015-2019,Percent,0.36
County,Carter,2016-2020,Percent,0.319
County,Carter,2017-2021,Percent,S
County,Carter,2018-2022,Percent,S
County,Casey,2010-2014,Percent,S
County,Casey,2011-2015,Percent,0.293
County,Casey,2012-2016,Percent,0.36
County,Casey,2013-2017,Percent,0.354
County,Casey,2014-2018,Percent,0.342
County,Casey,2015-2019,Percent,S
County,Casey,2016-2020,Percent,0.294
County,Casey,2017-2021,Percent,0.369
County,Casey,2018-2022,Percent,0.34
County,Christian,2010-2014,Percent,0.37
County,Christian,2011-2015,Percent,0.371
County,Christian,2012-2016,Percent,0.433
County,Christian,2013-2017,Percent,0.451
County,Christian,2014-2018,Percent,0.414
County,Christian,2015-2019,Percent,0.37
County,Christian,2016-2020,Percent,0.372
County,Christian,2017-2021,Percent,0.312
County,Christian,2018-2022,Percent,0.24
County,Clark,2010-2014,Percent,0.442
County,Clark,2011-2015,Percent,0.466
County,Clark,2012-2016,Percent,0.414
County,Clark,2013-2017,Percent,0.457
County,Clark,2014-2018,Percent,0.497
County,Clark,2015-2019,Percent,0.41
County,Clark,2016-2020,Percent,0.444
County,Clark,2017-2021,Percent,0.419
County,Clark,2018-2022,Percent,0.432
County,Clay,2010-2014,Percent,0.353
County,Clay,2011-2015,Percent,0.284
County,Clay,2012-2016,Percent,S
County,Clay,2013-2017,Percent,S
County,Clay,2014-2018,Percent,S
County,Clay,2015-2019,Percent,S
County,Clay,2016-2020,Percent,0.316
County,Clay,2017-2021,Percent,0.392
County,Clay,2018-2022,Percent,0.491
County,Clinton,2010-2014,Percent,0.713
County,Clinton,2011-2015,Percent,0.498
County,Clinton,2012-2016,Percent,S
County,Clinton,2013-2017,Percent,S
County,Clinton,2014-2018,Percent,S
County,Clinton,2015-2019,Percent,S
County,Clinton,2016-2020,Percent,S
County,Clinton,2017-2021,Percent,0.49
County,Clinton,2018-2022,Percent,0.626
County,Crittenden,2010-2014,Percent,S
County,Crittenden,2011-2015,Percent,S
County,Crittenden,2012-2016,Percent,0.443
County,Crittenden,2013-2017,Percent,0.435
County,Crittenden,2014-2018,Percent,0.478
County,Crittenden,2015-2019,Percent,0.542
County,Crittenden,2016-2020,Percent,S
County,Crittenden,2017-2021,Percent,S
County,Crittenden,2018-2022,Percent,S
County,Cumberland,2010-2014,Percent,0.627
County,Cumberland,2011-2015,Percent,0.663
County,Cumberland,2012-2016,Percent,S
County,Cumberland,2013-2017,Percent,S
County,Cumberland,2014-2018,Percent,S
County,Cumberland,2015-2019,Percent,S
County,Cumberland,2016-2020,Percent,S
County,Cumberland,2017-2021,Percent,S
County,Cumberland,2018-2022,Percent,S
County,Daviess,2010-2014,Percent,0.576
County,Daviess,2011-2015,Percent,0.553
County,Daviess,2012-2016,Percent,0.535
County,Daviess,2013-2017,Percent,0.532
County,Daviess,2014-2018,Percent,0.542
County,Daviess,2015-2019,Percent,0.532
County,Daviess,2016-2020,Percent,0.536
County,Daviess,2017-2021,Percent,0.526
County,Daviess,2018-2022,Percent,0.513
County,Edmonson,2010-2014,Percent,0.641
County,Edmonson,2011-2015,Percent,0.552
County,Edmonson,2012-2016,Percent,0.48
County,Edmonson,2013-2017,Percent,S
County,Edmonson,2014-2018,Percent,S
County,Edmonson,2015-2019,Percent,S
County,Edmonson,2016-2020,Percent,S
County,Edmonson,2017-2021,Percent,S
County,Edmonson,2018-2022,Percent,S
County,Elliott,2010-2014,Percent,S
County,Elliott,2011-2015,Percent,S
County,Elliott,2012-2016,Percent,S
County,Elliott,2013-2017,Percent,S
County,Elliott,2014-2018,Percent,S
County,Elliott,2015-2019,Percent,S
County,Elliott,2016-2020,Percent,S
County,Elliott,2017-2021,Percent,S
County,Elliott,2018-2022,Percent,S
County,Estill,2010-2014,Percent,S
County,Estill,2011-2015,Percent,S
County,Estill,2012-2016,Percent,S
County,Estill,2013-2017,Percent,S
County,Estill,2014-2018,Percent,S
County,Estill,2015-2019,Percent,S
County,Estill,2016-2020,Percent,0.454
County,Estill,2017-2021,Percent,S
County,Estill,2018-2022,Percent,S
County,Fayette,2010-2014,Percent,0.464
County,Fayette,2011-2015,Percent,0.475
County,Fayette,2012-2016,Percent,0.507
County,Fayette,2013-2017,Percent,0.486
County,Fayette,2014-2018,Percent,0.497
County,Fayette,2015-2019,Percent,0.484
County,Fayette,2016-2020,Percent,0.489
County,Fayette,2017-2021,Percent,0.478
County,Fayette,2018-2022,Percent,0.473
County,Fleming,2010-2014,Percent,S
County,Fleming,2011-2015,Percent,S
County,Fleming,2012-2016,Percent,0.462
County,Fleming,2013-2017,Percent,0.467
County,Fleming,2014-2018,Percent,0.529
County,Fleming,2015-2019,Percent,0.554
County,Fleming,2016-2020,Percent,0.532
County,Fleming,2017-2021,Percent,0.37
County,Fleming,2018-2022,Percent,S
County,Floyd,2010-2014,Percent,0.248
County,Floyd,2011-2015,Percent,0.242
County,Floyd,2012-2016,Percent,0.248
County,Floyd,2013-2017,Percent,0.269
County,Floyd,2014-2018,Percent,0.291
County,Floyd,2015-2019,Percent,0.264
County,Floyd,2016-2020,Percent,S
County,Floyd,2017-2021,Percent,S
County,Floyd,2018-2022,Percent,S
County,Franklin,2010-2014,Percent,0.306
County,Franklin,2011-2015,Percent,0.319
County,Franklin,2012-2016,Percent,0.326
County,Franklin,2013-2017,Percent,0.372
County,Franklin,2014-2018,Percent,0.399
County,Franklin,2015-2019,Percent,0.408
County,Franklin,2016-2020,Percent,0.454
County,Franklin,2017-2021,Percent,0.436
County,Franklin,2018-2022,Percent,0.479
County,Fulton,2010-2014,Percent,0.646
County,Fulton,2011-2015,Percent,0.642
County,Fulton,2012-2016,Percent,0.472
County,Fulton,2013-2017,Percent,0.524
County,Fulton,2014-2018,Percent,0.513
County,Fulton,2015-2019,Percent,0.538
County,Fulton,2016-2020,Percent,0.516
County,Fulton,2017-2021,Percent,0.645
County,Fulton,2018-2022,Percent,0.67
County,Gallatin,2010-2014,Percent,0.275
County,Gallatin,2011-2015,Percent,S
County,Gallatin,2012-2016,Percent,0.323
County,Gallatin,2013-2017,Percent,0.55
County,Gallatin,2014-2018,Percent,0.541
County,Gallatin,2015-2019,Percent,0.662
County,Gallatin,2016-2020,Percent,0.579
County,Gallatin,2017-2021,Percent,S
County,Gallatin,2018-2022,Percent,S
County,Garrard,2010-2014,Percent,0.25
County,Garrard,2011-2015,Percent,0.242
County,Garrard,2012-2016,Percent,S
County,Garrard,2013-2017,Percent,S
County,Garrard,2014-2018,Percent,S
County,Garrard,2015-2019,Percent,S
County,Garrard,2016-2020,Percent,S
County,Garrard,2017-2021,Percent,S
County,Garrard,2018-2022,Percent,0.454
County,Grant,2010-2014,Percent,S
County,Grant,2011-2015,Percent,0.274
County,Grant,2012-2016,Percent,0.249
County,Grant,2013-2017,Percent,0.356
County,Grant,2014-2018,Percent,0.275
County,Grant,2015-2019,Percent,0.392
County,Grant,2016-2020,Percent,0.341
County,Grant,2017-2021,Percent,0.326
County,Grant,2018-2022,Percent,0.281
County,Graves,2010-2014,Percent,0.484
County,Graves,2011-2015,Percent,0.45
County,Graves,2012-2016,Percent,0.53
County,Graves,2013-2017,Percent,0.519
County,Graves,2014-2018,Percent,0.461
County,Graves,2015-2019,Percent,0.469
County,Graves,2016-2020,Percent,0.423
County,Graves,2017-2021,Percent,0.487
County,Graves,2018-2022,Percent,0.367
County,Grayson,2010-2014,Percent,0.458
County,Grayson,2011-2015,Percent,0.372
County,Grayson,2012-2016,Percent,0.376
County,Grayson,2013-2017,Percent,0.319
County,Grayson,2014-2018,Percent,0.348
County,Grayson,2015-2019,Percent,0.389
County,Grayson,2016-2020,Percent,0.424
County,Grayson,2017-2021,Percent,0.332
County,Grayson,2018-2022,Percent,0.325
County,Green,2010-2014,Percent,S
County,Green,2011-2015,Percent,S
County,Green,2012-2016,Percent,0.331
County,Green,2013-2017,Percent,0.451
County,Green,2014-2018,Percent,0.346
County,Green,2015-2019,Percent,0.41
County,Green,2016-2020,Percent,0.5
County,Green,2017-2021,Percent,S
County,Green,2018-2022,Percent,S
County,Greenup,2010-2014,Percent,0.44
County,Greenup,2011-2015,Percent,0.435
County,Greenup,2012-2016,Percent,0.424
County,Greenup,2013-2017,Percent,0.423
County,Greenup,2014-2018,Percent,0.438
County,Greenup,2015-2019,Percent,0.392
County,Greenup,2016-2020,Percent,0.451
County,Greenup,2017-2021,Percent,0.517
County,Greenup,2018-2022,Percent,0.605
County,Hancock,2010-2014,Percent,S
County,Hancock,2011-2015,Percent,S
County,Hancock,2012-2016,Percent,0.592
County,Hancock,2013-2017,Percent,0.54
County,Hancock,2014-2018,Percent,0.565
County,Hancock,2015-2019,Percent,0.553
County,Hancock,2016-2020,Percent,0.635
County,Hancock,2017-2021,Percent,0.5
County,Hancock,2018-2022,Percent,0.662
County,Hardin,2010-2014,Percent,0.396
County,Hardin,2011-2015,Percent,0.39
County,Hardin,2012-2016,Percent,0.404
County,Hardin,2013-2017,Percent,0.378
County,Hardin,2014-2018,Percent,0.398
County,Hardin,2015-2019,Percent,0.392
County,Hardin,2016-2020,Percent,0.428
County,Hardin,2017-2021,Percent,0.467
County,Hardin,2018-2022,Percent,0.495
County,Harlan,2010-2014,Percent,0.496
County,Harlan,2011-2015,Percent,0.476
County,Harlan,2012-2016,Percent,0.453
County,Harlan,2013-2017,Percent,0.432
County,Harlan,2014-2018,Percent,0.476
County,Harlan,2015-2019,Percent,0.509
County,Harlan,2016-2020,Percent,0.45
County,Harlan,2017-2021,Percent,0.406
County,Harlan,2018-2022,Percent,0.42
County,Harrison,2010-2014,Percent,0.312
County,Harrison,2011-2015,Percent,0.392
County,Harrison,2012-2016,Percent,0.369
County,Harrison,2013-2017,Percent,S
County,Harrison,2014-2018,Percent,0.334
County,Harrison,2015-2019,Percent,0.453
County,Harrison,2016-2020,Percent,S
County,Harrison,2017-2021,Percent,0.46
County,Harrison,2018-2022,Percent,S
County,Hart,2010-2014,Percent,0.3
County,Hart,2011-2015,Percent,0.262
County,Hart,2012-2016,Percent,0.225
County,Hart,2013-2017,Percent,0.266
County,Hart,2014-2018,Percent,0.28
County,Hart,2015-2019,Percent,0.351
County,Hart,2016-2020,Percent,0.224
County,Hart,2017-2021,Percent,S
County,Hart,2018-2022,Percent,S
County,Henderson,2010-2014,Percent,0.496
County,Henderson,2011-2015,Percent,0.506
County,Henderson,2012-2016,Percent,0.519
County,Henderson,2013-2017,Percent,0.541
County,Henderson,2014-2018,Percent,0.512
County,Henderson,2015-2019,Percent,0.406
County,Henderson,2016-2020,Percent,0.354
County,Henderson,2017-2021,Percent,0.38
County,Henderson,2018-2022,Percent,0.254
County,Henry,2010-2014,Percent,0.597
County,Henry,2011-2015,Percent,0.509
County,Henry,2012-2016,Percent,0.513
County,Henry,2013-2017,Percent,0.542
County,Henry,2014-2018,Percent,0.455
County,Henry,2015-2019,Percent,0.45
County,Henry,2016-2020,Percent,0.454
County,Henry,2017-2021,Percent,0.393
County,Henry,2018-2022,Percent,0.352
County,Hickman,2010-2014,Percent,0.721
County,Hickman,2011-2015,Percent,0.708
County,Hickman,2012-2016,Percent,S
County,Hickman,2013-2017,Percent,S
County,Hickman,2014-2018,Percent,S
County,Hickman,2015-2019,Percent,S
County,Hickman,2016-2020,Percent,0.923
County,Hickman,2017-2021,Percent,0.984
County,Hickman,2018-2022,Percent,0.986
County,Hopkins,2010-2014,Percent,0.349
County,Hopkins,2011-2015,Percent,0.409
County,Hopkins,2012-2016,Percent,0.382
County,Hopkins,2013-2017,Percent,0.365
County,Hopkins,2014-2018,Percent,0.421
County,Hopkins,2015-2019,Percent,0.412
County,Hopkins,2016-2020,Percent,0.326
County,Hopkins,2017-2021,Percent,0.312
County,Hopkins,2018-2022,Percent,0.313
County,Jackson,2010-2014,Percent,S
County,Jackson,2011-2015,Percent,S
County,Jackson,2012-2016,Percent,0.412
County,Jackson,2013-2017,Percent,S
County,Jackson,2014-2018,Percent,S
County,Jackson,2015-2019,Percent,S
County,Jackson,2016-2020,Percent,S
County,Jackson,2017-2021,Percent,S
County,Jackson,2018-2022,Percent,S
County,Jefferson,2010-2014,Percent,0.464
County,Jefferson,2011-2015,Percent,0.481
County,Jefferson,2012-2016,Percent,0.476
County,Jefferson,2013-2017,Percent,0.453
County,Jefferson,2014-2018,Percent,0.448
County,Jefferson,2015-2019,Percent,0.441
County,Jefferson,2016-2020,Percent,0.416
County,Jefferson,2017-2021,Percent,0.397
County,Jefferson,2018-2022,Percent,0.389
County,Jessamine,2010-2014,Percent,0.414
County,Jessamine,2011-2015,Percent,0.399
County,Jessamine,2012-2016,Percent,0.374
County,Jessamine,2013-2017,Percent,0.416
County,Jessamine,2014-2018,Percent,0.442
County,Jessamine,2015-2019,Percent,0.402
County,Jessamine,2016-2020,Percent,0.384
County,Jessamine,2017-2021,Percent,0.4
County,Jessamine,2018-2022,Percent,0.382
County,Johnson,2010-2014,Percent,0.22
County,Johnson,2011-2015,Percent,0.267
County,Johnson,2012-2016,Percent,S
County,Johnson,2013-2017,Percent,S
County,Johnson,2014-2018,Percent,0.261
County,Johnson,2015-2019,Percent,S
County,Johnson,2016-2020,Percent,S
County,Johnson,2017-2021,Percent,0.279
County,Johnson,2018-2022,Percent,S
County,Kenton,2010-2014,Percent,0.463
County,Kenton,2011-2015,Percent,0.447
County,Kenton,2012-2016,Percent,0.446
County,Kenton,2013-2017,Percent,0.44
County,Kenton,2014-2018,Percent,0.471
County,Kenton,2015-2019,Percent,0.469
